fecha,simbolo,apertura,cierre,volumen
2024-09-23,GOOGL,164.35,161.85,24150852
2024-09-20,GOOGL,163.5,163.59,40896438
2024-09-19,GOOGL,163.71,162.14,26587733
2024-09-18,GOOGL,159.86,159.81,23677315
2024-09-17,GOOGL,159.02,159.32,20715612
2024-09-16,GOOGL,157.31,158.06,18379775
2025-02-07,MSFT,416.48,409.75,22886844
2025-02-06,MSFT,414.0,415.82,16309755
2025-02-05,MSFT,412.35,413.29,16336188
2025-02-04,MSFT,412.685,412.37,20532096
2025-02-03,MSFT,411.6,410.92,25679149
2025-01-31,MSFT,418.98,415.06,34223388
2025-01-30,MSFT,418.77,414.99,54586260
2025-01-29,MSFT,446.69,442.33,23581370
2025-01-28,MSFT,434.6,447.2,23491703
2025-01-27,MSFT,424.01,434.56,35647805
2025-01-24,MSFT,445.16,444.06,15549453
2025-01-23,MSFT,442.0,446.71,18389270
2025-01-22,MSFT,437.56,446.2,27803811
2025-01-21,MSFT,430.2,428.5,26085703
2025-01-17,MSFT,434.085,429.03,26197507
2025-01-16,MSFT,428.695,424.58,15300023
2025-01-15,MSFT,419.13,426.31,19637838
2025-01-14,MSFT,417.81,415.67,16935856
2025-01-13,MSFT,415.235,417.19,17604780
2025-01-10,MSFT,424.63,418.95,20201132
2025-01-08,MSFT,423.46,424.56,15054575
2025-01-07,MSFT,429.0,422.37,18139065
2025-01-06,MSFT,428.0,427.85,20573648
2025-01-03,MSFT,421.08,423.35,16662943
2025-01-02,MSFT,425.53,418.58,16896469
2024-12-31,MSFT,426.1,421.5,13246509
2024-12-30,MSFT,426.06,424.83,13158703
2024-12-27,MSFT,434.6,430.53,18117713
2024-12-26,MSFT,439.08,438.11,8199927
2024-12-24,MSFT,434.65,439.33,7164543
2024-12-23,MSFT,436.74,435.25,19152519
2024-12-20,MSFT,433.11,436.6,64263694
2024-12-19,MSFT,441.62,437.03,22963681
2024-12-18,MSFT,451.32,437.39,24444545
2024-12-17,MSFT,451.01,454.46,22733494
2024-12-16,MSFT,447.27,451.59,23598834
2024-12-13,MSFT,448.435,447.27,20177833
2024-12-12,MSFT,449.11,449.56,20834779
2024-12-11,MSFT,444.05,448.99,19200208
2024-12-10,MSFT,444.39,443.33,18469459
2024-12-09,MSFT,442.6,446.02,19144388
2024-12-06,MSFT,442.3,443.57,18821002
2024-12-05,MSFT,437.92,442.62,21697775
2024-12-04,MSFT,433.03,437.42,26009429
